joueurId(Number);tour(Number);caseId(String);natureFond(String);bathymetrie(String);estEnregistre(Boolean);estMemorise(Boolean);type(Symbol)
2;4;S10;vase;plateau;false;false;FouDeBassan
2;4;S7;vase;plateau;false;false;Tortue
2;4;S7;vase;plateau;false;false;NavireEspagnol
2;4;U7;vase;plateau;false;false;FouDeBassan
2;4;V7;vase;plateau;false;false;NavireEspagnol
2;4;Y2;vase;large;false;false;Dauphin
2;4;Z5;sable;large;false;false;Dauphin
2;4;W7;vase;plateau;false;false;FouDeBassan
2;4;Z10;vase;plateau;false;false;FouDeBassan
2;4;X11;vase;plateau;false;false;FouDeBassan
2;4;W11;vase;plateau;false;false;FouDeBassan
2;4;W13;vase;plateau;false;false;FouDeBassan
2;4;W14;vase;plateau;false;false;Dauphin
2;4;Z15;vase;plateau;false;false;FouDeBassan
2;4;W16;vase;plateau;false;false;FouDeBassan
2;4;W18;vase;plateau;false;false;FouDeBassan
2;4;Z24;vase;plateau;false;false;FouDeBassan
2;4;W24;vase;plateau;false;false;FouDeBassan
2;4;W29;rocher;plateau;false;false;NavireEspagnol
2;4;V30;rocher;plateau;false;false;FouDeBassan
2;4;X30;rocher;plateau;false;false;FouDeBassan
2;4;V32;rocher;plateau;false;false;FouDeBassan
2;4;V33;rocher;plateau;false;false;NavireEspagnol
2;4;T32;rocher;plateau;false;false;FouDeBassan
2;4;T32;rocher;plateau;false;false;Dauphin
2;4;R33;vase;plateau;false;false;Dauphin
1;4;N48;sable;cote;true;false;FouDeBassan
1;4;N48;sable;cote;true;false;Plaisancier
1;4;M49;sable;cote;true;false;Plaisancier
1;4;K48;sable;cote;true;false;Plaisancier
1;4;O48;sable;cote;true;false;Plaisancier
1;4;N49;sable;cote;true;false;Plaisancier
1;4;M44;vase;plateau;true;false;FouDeBassan
1;4;O43;vase;plateau;true;false;FouDeBassan
1;4;K42;vase;plateau;true;false;NavireCommerce
2;4;H44;rocher;cote;false;false;Plaisancier
1;4;O38;vase;plateau;true;false;FouDeBassan
1;4;M35;sable;plateau;true;false;FouDeBassan
